Name;Target market;RESTRICTION;Operator/Registry;Notes
.buy;sales;Amazon Registry Services, INC;;
.buzz;marketing and social networking;;DOTSTRATEGY;
.cab;Airline & travel-related products or services, city guides & tourist attractions, transportation businesses, hotels, hostels, B&Bs, lodging, tourist attractions;;Donuts Inc;
.cafe;Cafes, restaurants, delis, cafeterias, coffee shops & coffee stands, student lounges, mobile food/beverage vendors, cooking schools;;Donuts Inc;
.call;Amazon Registry Services, Inc.;;;
.cam;entertainment;;Acwebconnecting—;
.camera;Professional photographers, camera and equipment retailers, photo studios & photography schools, wedding and specialty photographers, anyone who wants to share photos online;;Donuts Inc;
.camp;Camping/RV sites, travel writers & bloggers, outdoor adventure companies, summer camps for kids, hotels, hostels, lodges, bed & breakfast lodging;;Donuts Inc;
.cancerresearch;Organizations, research institutes and individuals interested in ending cancer through research;;Australian Cancer Research Foundation;
.capital;Mortgage companies, financial services professionals, investment services, venture capital investors;;Donuts Inc;
.car;vehicles;Cars Registry Limited;;
.cards;Occasion shoppers (holiday, birthday, bereavement), occasion-related websites, gift buyers, corporate HR departments;;Donuts Inc;
.care;Surgeons, primary/secondary care physicians, insurance providers, hospitals & clinics, medical, dental, or vision specialists, service based products or services;;Donuts Inc;
.career;jobs and job-searching;;dotCareer LLC;
.careers;Career services (coaching, resume writing), job sites & recruiters, business coaches, staffing firms, HR department of any business;;Donuts Inc;
.cars;Automotive;;Uniregistry;
.case;Reserved for CNH Industrial;CNH Industrial N.V.;;
.cash;Pawn shops and consignment shops, currency exchanges, other cash-based businesses, check cashing services;;Donuts Inc;
.casino;Casino & online gaming sites, travel agencies, local tourist sites, hotel booking sites;;Donuts Inc;
.catering;Caterers & personal chefs, specialty food vendors, wedding planners & event planners, event spaces, wholesale suppliers;;Donuts Inc;
.catholic;Catholicism;Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communications);;
.center;Community centers, business centers, shopping centers, tourist sites/city centers, tutoring & learning centers;;Donuts Inc;
.cern;CERN;;CERN;
.ceo;CEOs;;CEOTLD Pty Ltd;
.cfd;contracts for difference trading;Reserved for IG Group Holdings plc;DOTCFD REGISTRY LTD;
.channel;—;Google;;
.chat;Online chat rooms, dating, political, religious, sports, human interest, & hobbyist forums, companies with live chat help desks, chatbot technology companies;;Donuts Inc;
.charity;—;;Donuts Inc;
.cheap;Online retailers, discount sites, overstock sites, businesses who sell bulk products at discounted prices, bargain hunters & frugal-living bloggers;;Donuts Inc;
.christmas;Christmas;;Uniregistry;
