Name;Target market;RESTRICTION;Operator/Registry;Notes
.moe;"Japanese otaku culture; see moe (slang)";;Interlink;
.mom;Uniregistry, Corp.;;;
.money;Lenders, financial services businesses, money blogs & news sites, investment bankers & brokers, financial planners & experts;;Donuts Inc;
.monster;organizations;;xyz.com;
.mortgage;Mortgage brokers, real estate brokers/agents, home buyers, traditional “classified” sites;;Donuts Inc;
.motorcycles;motorcycles;;DERMotorcycles;
.mov;digital video;;Google;
.movie;Streaming movie services, movie studios & distributors, movie theaters & entertainment outlets, ticket sale/resale sites, movie review sites;;Donuts Inc;
.museum;museums;Must be verified as a legitimate museum.;Museum Domain Management Association;
.music;Music dissemination and appreciation;;Under contention;
.name;individuals, by name;"Open TLD; any person or entity is permitted to register; however, registrations may be challenged later if they are not by individuals (or the owners of fictional characters) in accordance with the domain's charter.";Verisign;
.navy;Naval training schools, navy supply stores, military recruiters, credit unions, navy members and veterans;;Donuts Inc;
.network;IT professionals, tech consultants, career sites, industry-specific professional groups, social networks;;Donuts Inc;
.new;websites where people can create something;The second-level domain name must be the thing to be created immediately when a user visits the .new website. Most likely, the .new will redirect to a company's main website.;Google;
.news;News organizations, educational publications, trade publications, neighborhood news blogs;;;
.ngo;Non-governmental organizations.;Restricted to validated NGOs, as determined by PIR. See the eligibility requirements.;Public Interest Registry;
;Sold packaged with .ong.;;;
.ninja;Sites promoting specialized skills, repair services (auto, appliance, etc.), gaming sites, martial arts organizations;;Donuts Inc;
.now;Amazon Registry Services, Inc.;;;
.ntt;businesses;Restricted to use by NTT Japan. Refer to the .ntt Registration Policies page for more information.;Nippon Telegraph And Telephone Corporation.;
.observer;Reserved for The Observer;Top Level Spectrum, Inc.;;
.off;Reserved for Off!;Johnson Shareholdings, Inc.;;
.org;general;;Public Interest Registry;
.one;general;;.one (top-level domain);
.ong;Non-governmental organizations.;Restricted to validated NGOs, as determined by PIR. See the eligibility requirements.;Public Interest Registry;
;Sold packaged with .ngo.;;;
.onl;"short for online";;I-REGISTRY;
.online;generic;;Radix Registry;
.ooo;general;;Infibeam;
.open;"private to the Registry Operator and its qualified Affiliates and Trademark Licensees";American Express Travel Related Services Company, Inc.;;
.organic;organic gardeners, farmers, foods, etc.;Registrants must be verified as a member of the organic community.;Afilias;
.origins;Reserved for Origins;The Estée Lauder CompaniesInc.;;
.page;Reserved for Google and related content;Charleston Road Registry Inc. (Google);;
.partners;Law firms, real estate agencies, investment firms, accounting firms, nonprofit organizations;;Donuts Inc;
.parts;Appliance wholesalers & service, tool rentals & service businesses, auto/boat/heavy equipment businesses;;Donuts Inc;
.party;nightclubs and social gatherings;;Global Registry Services Ltd;
.pay;electronic payments;Amazon Registry Services, Inc.;;
.pet;animals and pets;Afilias plc;;
.pharmacy;pharmacies;"All registrants within the .pharmacy gTLD are vetted prior to registration to confirm that they meet all applicable regulatory standards, including pharmacy licensure and valid prescription requirements, in the jurisdictions where they are based and where they serve patients.";National Association of Boards of Pharmacy;
.phone;Dish DBS Corporation;;;
.photo;photography and photo-sharing;;Uniregistry;
.photography;Professional photographers, camera and equipment retailers, photo studios & photography schools, wedding and specialty photographers, anyone who wants to share photos online;;Donuts Inc;
.photos;Professional photographers, camera and equipment retailers, photo studios & photography schools, wedding and specialty photographers, anyone who wants to share photos online;;Donuts Inc;
.physio;physical therapists;Must be eligible for membership within an association that is a member of the World Confederation for Physical Therapy, have proper training as a physical therapist outside WCPT's reach, or otherwise supports physical therapy.;PhysBiz;
.pics;photography and photo-sharing;;Uniregistry;
.pictures;Professional photographers, camera and equipment retailers, photo studios & photography schools, wedding and specialty photographers, anyone who wants to share photos online;;Donuts Inc;
.pid;;Top Level Spectrum;;
.pin;Amazon Registry Services, Inc.;;;
.pink;those who like the color pink;;Afilias;
.pizza;Pizzerias, take & bake pizza shops, Italian or Greek restaurants, pizza brands found in grocery stores;;Donuts Inc;
.place;Airline-related products or services, travel agencies, resources & services, travel writers & bloggers, tourist attractions, hotels, hostels, B&Bs, lodging;;Donuts Inc;
.plumbing;Plumbers & plumbing repair businesses, plumbing departments within home supply stores, contractors/subcontractors, DIYers;;Donuts Inc;
.plus;Consumer commodity stores & sites, clothing (plus, big & tall), service-based businesses, any entity wanting to show their competitive advantage;;Donuts Inc;
.poker;Poker players and sites;;Afilias;
.porn;adult entertainment (pornography);For sites providing sexually explicit content, such as pornography.;Afilias;
.post;postal services;"The .post TLD is restricted to Postal Administrations as defined in the Universal Postal Union constitution, and their large customers who wish to provide Trusted Postal Services.";Universal Postal Union;
.press;publishing and journalism;;Radix Registry;
.prime;Reserved for Amazon Prime;Amazon Registry Services, Inc.;;
.pro;professions/professionals;;Registry Services Corporation;
.productions;Advertising/Marketing/PR/Design agencies, media buying/production companies (digital & traditional), video production services, anyone in the film industry;;Donuts Inc;
.prof;Professors, teachers and learning;;Google;
.promo;advertising;Afilias plc;;
.properties;Real estate brokers/agents, residential/Commercial land developers, property (condo/apartment) managers, home builders, mortgage companies;;Donuts Inc;
.property;real estate;;Uniregistry;
.protection;security;XYZ.COM LLC;;
.pub;Pubs, bars & nightclubs, burger joints, breweries & taphouses, beer distributors, restaurant & bar suppliers;;Donuts Inc;
;publications;;;
.qpon;coupons;;dotCOOL;
.racing;racing;;Global Registry Services Ltd;
.radio;radio stations;European Broadcasting Union (EBU);;
.read;ebook websites;Amazon Registry Services, Inc.;;
.realestate;real estate;dotRealEstate LLC;;
.realtor;realtors;To be restricted to members of the National Association of Realtors and the Canadian Real Estate Association, and related associations.;Real Estate Domains;
.realty;realty and housing;Fegistry, LLC;;
.recipes;Recipe sites, food & beverage grocery brands, health & fitness organizations, cooking enthusiasts, personal/professional chefs;;Donuts;
.red;those who like the color red;;Afilias;
;Also Spanish variant of .net;;;
;Also likely to be attractive for domain hacks for words that end with '-red'.;;;
.rehab;Physical and occupational therapists and professionals, drug, alcohol and gambling addiction counselors, rehabilitation facilities and recovery centers, online health directories, physical or emotional health associations;;Donuts Inc;
.reit;real estate investment trusts;Restricted to REITs, as determined by national law.;National Association of Real Estate Investment Trusts;
.rent;Real estate professionals and small businesses;;xyz.xyz;
.rentals;Real estate brokers/agents, city guides, college housing centers, & community centers, vehicle, equipment, or entertainment/event rentals, property managers, condo/apartment developers;;Donuts Inc;
.repair;General or specialty repair shops, construction contractors/subcontractors, DIYers, appliance wholesalers & service, auto/boat businesses;;Donuts Inc;
.report;News & current events sites, financial reporting sites, financial or business analysts, consumer product reviews, police, school, or other community report listings;;Donuts Inc;
.republican;Political candidates, lobbyists, political parties, fundraising organizations;;Donuts Inc;
.rest;Restaurants and related industry;;Punto 2012;
.restaurant;Casual eateries, gourmet restaurants, suppliers, chains, review sites, reservation sites & services;;Donuts Inc;
.review;public reviews;;Global Registry Services Ltd;
.reviews;News media, food publications, travel publications, literary publications, any product & service with online reviews;;Donuts Inc;
.rich;businesses catering to the wealthy;;I-REGISTRY;
.rip;Loved ones seeking to memorialize the deceased, funeral homes and cemeteries, businesses that support the funeral industry, obituary websites;;Donuts Inc;
.rocks;Pop culture sites, niche and fan sites, musicians, gemstone & jewelry companies;;Donuts Inc;
.rodeo;Rodeo interest;;Minds + Machines;
.room;Amazon Registry Services, Inc.;;;
.rugby;rugby;World Rugby Strategic Developments Limited;;
.run;Runners, running shoe retailers, specialty running gear shops, running event organizers;;Donuts Inc;
.safe;Amazon Registry Services, Inc.;;;
.sale;Online and brick-and-mortar retailers and wholesalers, automotive and motorcycle dealers, discount, flash sale, and deal websites, auction sites and individuals selling items they no longer need;;Donuts Inc;
.salon;Hair salons, nail salons, beauty product companies, beauty schools;;Donuts Inc;
.save;Amazon Registry Services, Inc.;;;
.sbi;State Bank of India;;;
.scholarships;scholarship related;;Scholarships.com;
.school;Public schools, private & charter schools, specialty and trade schools, online learning sites, resource sites for teachers;;Donuts Inc;
.science;science-related sites;;Global Registry Services Ltd;
.search;search engines;Charleston Road Registry Inc. (Google);;
.secure;Amazon Registry Services, Inc.;;;
.security;XYZ.COM LLC;;;
.select;iSelect Ltd;;;
.services;Service division of any company, home services (cleaning, landscaping, plumbing, pet care), business services (tech support, interior design, translation services), community service organizations;;Donuts Inc;
.sex;adult entertainment (pornography);For sites providing sexually explicit content, such as pornography.;ICM Registry;
.sexy;adult entertainment;;Uniregistry;
.shoes;Shoe stores, department stores, online retailers, athletic shoe retailers, discount shoe stores;;Donuts;
.shop;GMO Registry, Inc.;;;
.shopping;Online retailers, shopping centers, personal shoppers, discount sites & coupon sites, shopping blogs & product reviews;Donuts Inc;;
.show;Ticket sale/resale sites, performance halls, music clubs/bars, streaming video services, movie review sites, travel sites & city guides;;Donuts Inc;
.showtime;CBS Domains Inc.;;;
.silk;Reserved for Amazon Silk;Amazon Registry Services, Inc.;;
.singles;(Tickets) Ticket sale/resale sites, gaming agencies, movie review sites, city guides, sports sites;;Donuts Inc;
;(Dating) Dating & matchmaker sites, singles meetup groups, traditional “classified” sites, travel sites & city guides;;;
.site;general;;;
.ski;STARTING DOT LIMITED;;;
.skin;skincare products and services;L'Oréal;;
.sky;Sky International AG;;;
.sling;Reserved for Sling Media;Hughes Satellite Systems Corporation;;
.smile;Reserved for Amazon;Amazon Registry Services, Inc.;;
.sncf;Reserved to the SNCF company.;SNCF;;
.soccer;Professional & amateur soccer clubs, soccer equipment suppliers & manufacturers, soccer & sports media networks, soccer players, enthusiasts, & spectators, soccer camps, coaches, & training organizations;;Donuts Inc;
.social;Advertising/Marketing/PR/Design agencies, media buying/production companies (digital & traditional), blogs & forums, event & meetup groups, any person or organization driving awareness of their social presence;;Donuts Inc;
.software;Software testing, support, & consulting companies, software product developers & manufacturers, software training & educational institutions, software resellers;;Donuts Inc;
.solar;Renewable & sustainable energy producers, solar panel, roof tile, & storage producers, solar cell battery, chargers, lights, speakers, & generator manufacturers, sunglass, shades, UV clothing, sunblock & other solar protection products;;Donuts Inc;
.solutions;SaaS providers, people who offer do-it-yourself tips and tutorials, consultants, any business focused on providing the right solutions to their customers’ problems.;;Donuts Inc;
.song;Amazon Registry Services, Inc.;;;
.space;as a creative space;;Radix Registry;
.spreadbetting;DOTSPREADBETTING REGISTRY LTD;;;
.spot;Amazon Registry Services, Inc.;;;
.sport;sport institutions;Global Association of International Sports Federations (GAISF);;
.storage;Self Storage Company LLC;;;
.store;stores;;Radix Registry;
.stream;streaming media;Global Registry Services Ltd;;
.studio;Advertising/Marketing/PR/Design agencies, creative freelancers, other creative agencies (i.e., animation, production), dance, yoga, or fitness studios;;Donuts Inc;
.study;education;OPEN UNIVERSITIES AUSTRALIA PTY LTD;;
.style;Fashion bloggers, department stores, designers, online retailers;;Donuts Inc;
.sucks;gripe sites;;Vox Populi;
.supplies;Contractors, distribution companies, appliance wholesalers & service, auto/boat/heavy equipment businesses, home services retailers;;Donuts Inc;
.supply;Contractors, distribution companies, appliance wholesalers & service, auto/boat/heavy equipment businesses;;Donuts Inc;
.support;IT/Tech support services, social services, customer service & support departments, independent consultants & consulting firms, staffing services;;Donuts Inc;
.surf;surfing;;Minds + Machines;
.surgery;Surgeons, primary/secondary care physicians, hospitals & clinics, healthcare providers, insurance providers;;Donuts Inc;
.systems;IT businesses, other tech-focused businesses, businesses that sell electronics or home security systems, organizational consultants;;Donuts Inc;
.talk;Amazon Registry Services, Inc.;;;
.tattoo;tattoo aficionados;;Uniregistry;
.tax;Accounting & bookkeeping firms, tax advisors, auditors, financial experts & advisors;;Donuts Inc;
.taxi;Airline & travel-related products or services, city guides & tourist attractions, transportation businesses, hotels, hostels, B&Bs, lodging, tourist attractions;;Donuts Inc;
.team;Professional & amateur sports teams, sports equipment suppliers & manufacturers, sports media, athletes & fans, clubs, online communities & business organizations;;Donuts Inc;
.tech;technology;;Radix Registry;
.technology;Tech-focused businesses & tech startups, businesses that sell to tech companies, developers, coders, programmers, computer retailers, technology blogs, news sites, & review sites, hardware & software companies, R&D companies, tech product manufacturers;;Donuts Inc;
.tel;Internet communication services;A contact directory housing all types of contact information directly in the Domain Name System.;;
.tennis;Tennis courts, clubs & other venues, tennis equipment suppliers and retailers, professional & amateur tennis players, sports media;;Donuts Inc;
.theater;Entertainment & movie theater outlets, live performance theaters, professional performer associations, movie review sites, travel sites & city guides;;Donuts Inc;
.theatre;theatre;XYZ.COM LLC;;
.tickets;ticket resale;Accent Media Limited;;
.tips;Travel, hotel & hospitality companies, cooking & recipe publications, parenting & and relationship publications, manufacturers of any product with assembly instructions, publications that provide advice on gratuity practices around the world;;Donuts Inc;
.tires;Tire wholesalers, tire retailers, auto repair shops;;Donuts Inc;
.today;News & current event sites, websites that publish daily content, daily inspiration sites, sites with daily rotating deals or offers, anyone who wants to spur immediate action;;Donuts Inc;
.tools;Tool shops, tool departments within home supply stores, contractors, subcontractors, construction-related businesses;;Donuts Inc;
.top;general;;Jiangsu Bangning;
.tours;Airline-related products or services, travel agencies, resources & services, tourist attractions, outdoor adventure companies, private plane/helicopter tours & services;;Donuts Inc;
.town;Travel agencies, resources & services, local business associations, city guides & resource sites, transportation businesses, hotels, hostels, B&Bs, lodging;;Donuts Inc;
.toys;Toy stores, online retailers, department stores, game companies, sporting goods companies;;Donuts Inc;
.trade;businesses;;Global Registry Services Ltd;
.trading;DOTTRADING REGISTRY LTD;;;
.training;Personal trainers & nutrition coaches, gyms and fitness centers, sports medicine practitioners, business that sell sports gear or apparel, or fan merchandise, animal trainers, career or vocational training centers;;Donuts Inc;
.travel;Airline-related products or services, travel agencies, resources, bloggers & services, city guides & tourist attractions, transportation businesses, destination resorts, hotels, hostels, B&Bs, lodging, any other travel or transportation business;Must be verified as a legitimate travel-related entity.;;
.travelersinsurance;Reserved for Travelers Insurance;Travelers TLD, LLC;;
.trust;Artemis Internet Inc;;;
.tube;Latin American Telecom LLC;;;
.tunes;Reserved for Amazon Music;Amazon Registry Services, Inc.;;
.uconnect;Not assigned;;;
.university;Online universities, brick-and-mortar universities, university-related clubs & organizations;;Donuts Inc;
.uno;;;;
.vacations;Airline-related products or services, travel agencies, resources, bloggers & services, city guides & tourist attractions, transportation businesses, destination resorts, hotels, hostels, B&Bs, lodging;;Donuts Inc;
.ventures;Venture capital investment firms, business financial services, business consultants, programs & services for entrepreneurs;;Donuts Inc;
.vet;Veterinarians, veterinary clinics and hospitals, wholesale suppliers for veterinary supplies;;Donuts Inc;
.video;Video production & media companies, videographers, video editors, script writers, & producers, streaming video sites services, creative agencies;;Donuts Inc;
.villas;International real estate brokers/agents, international travel agencies, resources & services, travel writers & bloggers, traditional “classified” sites;;Donuts Inc;
.vin;Wineries, wine shops & wine bars, wine distributors, wine clubs & online retailers, wine review sites and apps;;Donuts Inc;
.vip;Minds + Machines Group Limited;;;
.vision;Opticians & optometry clinics, healthcare providers, insurance provider, glasses retailers, online and brick & mortar;;Donuts Inc;
.vodka;vodka-related businesses and interest;;;
.volvo;car manufacturer;Only Volvo Holding Sverige Aktiebolag and its Affiliates are eligible to register a Domain Name under the .volvo Domain ;AB Volvo;
.vote;democratic elections and campaign websites;"Must use the domain in connection with a clearly identified political/democratic process.";Afilias;
.voting;polling sites;;;
.voyage;Airline-related products or services, travel agencies, resources, bloggers & services, city guides & tourist attractions, transportation businesses, hotels, hostels, B&Bs, lodging;;Donuts Inc;
.wang;general;;Zodiac Registry;
;"Wǎng is a Chinese Mandarin pinyin rendering of 网 (traditional 網) meaning web or portal.";;;
;Wang is also a common surname in mainland China.;;;
.watch;Watchmakers, jewelry stores, watch repair shops, neighborhood watch groups;;Donuts Inc;
.watches;watches;Richemont DNS Inc.;;
.weather;weather and meteorology;Reserved for The Weather Channel;International Business Machines Corporation;
.webcam;web cam shows and video sharing;;Global Registry Services Ltd;
.website;general;;Radix Registry;
.wed;engaged couples and wedding-oriented businesses;This TLD is intended primarily for engaged couples on a short-term basis (two years with large third-year renewal fees for second-level domains).;;
;And although the registry is advertising for multiple world languages, all domains appear to need to be in Latin script.;;;
.wedding;wedding-oriented businesses;;Minds + Machines;
.whoswho;general;An open TLD, any person or entity is permitted to register. Conceived for those cited in one of the Who's Who reference titles published around the world, the registry was opened for use by private individuals, and for-profit and nonprofit entities, including those with social media aspirations. Registry policies allow for rapid takedown of non-compliant domains, for violations including imposturous registration of another's names, and proscribed uses, including pornography or adult services/applications.;Who's Who Registry;
.wiki;wikis;"An open TLD for anyone interested in community resource creation";Top Level Design;
.win;games, Microsoft Windows;;Global Registry Services Ltd;
.wine;Wineries, wine bars, wine shops, wine distributors, wine clubs & online retailers, wine review sites;;Donuts Inc;
.winners;Reserved for TJX Companies;The TJX Companies, Inc.;;
.work;general;;Minds + Machines;
.works;Contractors, distribution companies, appliance wholesalers & service, auto/boat/heavy equipment businesses, companies with solution based products or services;;Donuts Inc;
.world;Brands with an international presence, nonprofits and charities, travel agencies & adventure companies, world travelers & global communities, any business with “world” in its name;;Donuts Inc;
.wow;Amazon Registry Services, Inc.;;;
.wtf;Bargain websites, photo & video aggregators, meme sites, news of the weird;;Donuts;
.xxx;adult entertainment (pornography);For sites providing sexually explicit content, such as pornography.;Uniregistry;
.xyz;general;;XYZ.com;
.yachts;yachts;DERYachts, LLC;;
.yoga;yoga;;Minds + Machines;
.you;Amazon Registry Services, Inc.;;;
.youtube;Google, LLC;;;
.zero;Amazon Registry Services, Inc.;;;
.zone;Sports fans, technology groups & followers, entertainment, fairs, destinations with a “zone”, city planners & zoning regulators, any topic with a following;;Donuts Inc;
.africa;Africa;;;
.capetown;Cape Town, South Africa;;;
.durban;Durban, South Africa;;;
.joburg;Johannesburg, South Africa;;;
.abudhabi;Abu Dhabi;;;
.arab;League of Arab States;;;
.asia;Asia-Pacific region;This is a TLD for companies, organizations, and individuals based in the region of Asia, Australia, and the Pacific.;;
.doha;Doha;;;
.dubai;Dubai;;;
.krd; Kurdistan;This is a TLD for companies, organizations, and individuals based in the region of Kurdistan;;
.kyoto;Kyoto, Japan;;;
.nagoya;Nagoya, Japan;;;
.okinawa;Okinawa, Japan;;;
.osaka;Osaka, Japan;;;
.ryukyu;Ryukyu Islands, Japan;;;
.taipei;Taipei, Taiwan;Introduced in September 2014;;
.tatar;Tatar peoples and places;Tatarstan is a region in Russia, though this TLD is meant for the global Tatar community.;;
.tokyo;Tokyo, Japan;;;
.yokohama;Yokohama, Japan;;;
.cymru; Wales;;;
.wales; Wales;Welsh;;
.london;London;;;
.scot; Scotland;;;
.alsace; Alsace;;;
.bzh;" Brittany; Breton language and culture";Breizh in Breton. This is a TLD for Web sites in the Breton language or related to Breton culture;;
.corsica; Corsica;TLD Related to Corsican Culture;;
.eus;Basque, Spain and France;Euskal Herria in Basque. Web sites must be in the Basque language and are checked periodically.;;
.paris;Paris;;;
.bcn;Barcelona;;;
.barcelona;Barcelona;Un­known;;
.cat;" Catalonia; Catalan language and culture";This is a TLD for Web sites in the Catalan language or related to Catalan culture.;;
.eus;Basque, Spain and France;Euskal Herria in Basque. Web sites must be in the Basque language and are checked periodically.;;
.gal; Galicia;This is a TLD for Web sites in the Galician language or related to Galician culture.;;
.madrid;Madrid;;;
.bayern; Bavaria;;;
.berlin; Berlin;Must have a connection to Berlin, Germany for example a company based in Berlin or a person from Berlin etc.;;
.cologne;Cologne;;;
.koeln;Yes;;;
.hamburg;Hamburg;;;
.nrw;North Rhine-Westphalia;;;
.ruhr;Ruhr;;;
.saarland; Saarland;;;
.brussels;Brussels, Belgium;;;
.gent;Ghent, Belgium;;;
.vlaanderen; Flanders, Belgium;;;
.amsterdam;Amsterdam, Netherlands;;;
.bar; Bar, Montenegro;Mostly used for bars and other alcohol facilities worldwide;;
.budapest;Budapest, Hungary;;;
.frl; Friesland, Netherlands;Fryslân in (West) Frisian, one of the twelve provinces in the Netherlands.;;
.helsinki;Helsinki, Finland;;;
.irish;" Ireland; global Irish community";;;
.ist;İstanbul, Turkey;;;
.istanbul;Un­known;;;
.moscow ;Moscow, Russia;;;
.stockholm;Stockholm, Sweden;;;
.swiss;  Switzerland;;;
.tirol; Tyrol, Austria;;;
.wien; Vienna, Austria;;;
.zuerich;Zurich, Switzerland;;;
.boston;Boston, Massachusetts;;;
.boston.ma.us;Boston, Massachusetts;;;
.miami;Miami, Florida;;;
.nyc;New York City, New York;;;
.new-york.ny.us;New York City, New York;;;
.quebec;Québec, Canada;;;
.qc.ca;Québec, Canada;;;
.vegas;Las Vegas, Nevada;;;
.las-vegas.nv.us;Las Vegas, Nevada;;;
.kiwi;New Zealanders;;;
.melbourne;Melbourne, Australia;;;
.sydney;Sydney, Australia;;;
.lat;Latin America;;;
.rio;Rio de Janeiro, Brazil;;;
.aaa ;American Automobile Association;;;
.aarp ;AARP;;;
.abarth;Fiat Chrysler Automobiles (Abarth);;;
.abb;ABB;;;
.abbott;Abbott Laboratories;;;
.abbvie;AbbVie;;;
.abc;American Broadcasting Company;;;
.accenture;Accenture;;;
.aco;ACO Severin Ahlmann GmbH & Co. KG;;;
.aeg;Aktiebolaget Electrolux;;;
.aetna;Aetna;;;
.afl;Australian Football League;;;
.agakhan;Aga Khan Foundation;;;
.aig;American International Group;;;
.aigo;Aigo;;;
.airbus;Airbus;;;
.airtel;Bharti Airtel;;;
.akdn;Aga Khan Foundation;;;
.alfaromeo;Fiat Chrysler Automobiles (Alfa Romeo);;;
.alibaba;Alibaba Group;;;
.alipay;Alibaba Group;;;
.allfinanz;Allfinanz Deutsche Vermögensberatung Aktiengesellschaft;;;
.allstate;Allstate;;;
.ally;Ally Financial;;;
.alstom;Alstom;;;
.amazon;Amazon;;;
.americanexpress;American Express;;;
.amex;American Express;;;
.amica;Amica Mutual Insurance;;;
.android;Google (Android);;;
.anz;Australia and New Zealand Banking Group;;;
.aol;AOL;;;
.apple;Apple;;;
.aquarelle;Aquarelle.com Group;;;
.aramco;Aramco;;;
.audi;Audi;;;
.auspost;Australia Post;;;
.axa;Axa;;;
.azure;Microsoft;;;
.baidu;Baidu;;;
.bananarepublic;Gap;;;
.barclaycard;Barclays;;;
.barclays;Barclays;;;
.basketball;FIBA;;;
.bauhaus;Werkhaus GmbH;;;
.bbc;BBC;;;
.bbt;BB&T;;;
.bbva;Banco Bilbao Vizcaya Argentaria;;;
.bcg;Boston Consulting Group;;;
.bentley;Bentley;;;
.bharti;Bharti Enterprises;;;
.bing;Microsoft;;;
.blanco;BLANCO GmbH + Co KG;;;
.bloomberg;Bloomberg;;;
.bms;Bristol-Myers Squibb;;;
.bmw;BMW;;;
.bnl;Banca Nazionale del Lavoro;;;
.bnpparibas;BNP Paribas;;;
.boehringer;Boehringer Ingelheim;;;
.bond;Bond University;;;
.booking;Booking.com;;;
.bosch;Robert Bosch GmbH;;;
.bostik;Bostik;;;
.bradesco;Bradesco;;;
.bridgestone;Bridgestone;;;
.brother;Brother Industries;;;
.bugatti;Bugatti;;;
.cal;Google (Google Calendar);;;
.calvinklein;PVH;;;
.canon;Canon;;;
.capitalone;Capital One;;;
.caravan;Caravan International;;;
.cartier;Richemont DNS;;;
.cba;Commonwealth Bank;;;
.cbn;Christian Broadcasting Network;;;
.cbre;CBRE Group;;;
.cbs;CBS;;;
.cern;CERN;;;
.cfa;CFA Institute;;;
.chanel;Chanel;;;
.chase;Chase Bank;;;
.chintai;Chintai Corporation;;;
.chrome;Google (Google Chrome);;;
.chrysler;Chrysler;;;
.cipriani;Hotel Cipriani Srl;;;
.cisco;Cisco Systems;;;
.citadel;Citadel Domain;;;
.citi;Citigroup;;;
.citic;CITIC Group;;;
.clubmed;Club Med;;;
.comcast;Comcast;;;
.commbank;Commonwealth Bank;;;
.creditunion;CUNA Performance Resources;;;
.crown;Crown Equipment Corporation;;;
.crs;Federated Co-operatives;;;
;(Co-Operative Retailing System);;;
.csc;DXC Technology;;;
.cuisinella;Société Alsacienne de Meubles (Cuisinella);;;
.dabur;Dabur;;;
.datsun;Nissan;;;
.dealer;Dealer Dot Com;;;
.dell;Dell;;;
.deloitte;Deloitte;;;
.delta;Delta Air Lines;;;
.dhl;Deutsche Post;;;
.discover;Discover Financial Services;;;
.dish;Dish Network;;;
.dnp;Dai Nippon Printing;;;
.dodge;Chrysler (Dodge);;;
.dunlop;Goodyear Tire and Rubber Company;;;
.dupont;DuPont;;;
.dvag;Deutsche Vermögensberatung;;;
.edeka;Edeka;;;
.emerck;Merck Group;;;
.epson;Seiko Epson;;;
.ericsson;Ericsson;;;
.erni;ERNI Group Holding AG;;;
.esurance;Esurance;;;
.etisalat;Etisalat;;;
.eurovision;European Broadcasting Union (Eurovision);;;
.everbank;EverBank;;;
.extraspace;Extra Space Storage;;;
.fage;Fage;;;
.fairwinds;FairWinds Partners;;;
.farmers;Farmers Insurance Exchange;;;
.fedex;FedEx;;;
.ferrari;Fiat Chrysler Automobiles (Ferrari);;;
.ferrero;Ferrero;;;
.fiat;Fiat Chrysler Automobiles;;;
.fidelity;Fidelity Investments;;;
.firestone;Bridgestone;;;
.firmdale;Firmdale Holdings;;;
.flickr;Yahoo! (Flickr);;;
.flir;FLIR Systems;;;
.flsmidth;FLSmidth;;;
.ford;Ford Motor Company;;;
.fox;Fox Broadcasting Company;;;
.fresenius;Fresenius Immobilien-Verwaltungs-GmbH;;;
.forex;Dotforex Registry Ltd;;;
.frogans;OP3FT;Solely for use by the Frogans technology;;
.frontier;Frontier Communications;;;
.fujitsu;Fujitsu;;;
.fujixerox;Fuji Xerox;;;
.gallo;E & J Gallo Winery;;;
.gallup;Gallup;;;
.gap;Gap;;;
.gbiz;Google;;;
.gea;GEA Group;;;
.genting;Genting Group;;;
.giving;Giving Limited;;;
.gle;Google;;;
.globo;Grupo Globo;;;
.gmail;Google (Gmail);;;
.gmo;GMO Internet;;;
.gmx;1&1 Mail & Media (Global Message Exchange);;;
.godaddy;Go Daddy;;;
.goldpoint;Yodobashi Camera;;;
.goodyear;Goodyear Tire and Rubber Company;;;
.goog;Google;;;
.google;Google;;;
.grainger;Grainger Registry Services, LLC;;;
.guardian;Guardian Life Insurance Company of America;;;
.gucci;Gucci;;;
.hbo;HBO;;;
.hdfc;Housing Development Finance Corporation;;;
.hdfcbank;HDFC Bank;;;
.hermes;Hermès;;;
.hisamitsu;Hisamitsu Pharmaceutical;;;
.hitachi;Hitachi;;;
.hkt;Hong Kong Telecom;;;
.honda;Honda Motor Company;;;
.honeywell;Honeywell;;;
.hotmail;Microsoft;;;
.hsbc;HSBC;;;
.hughes;Hughes Network Systems;;;
.hyatt;Hyatt;;;
.hyundai;Hyundai Motor Company;;;
.ibm;IBM;;;
.ieee;Institute of Electrical & Electronics Engineers;;;
.ifm;ifm electronic gmbh;;;
.ikano;Ikano;;;
.imdb;Amazon;;;
.infiniti;Nissan (Infiniti);;;
.intel;Intel;;;
.intuit;Intuit;;;
.ipiranga;Ipiranga;;;
.iselect;iSelect;;;
.itau;Itaú Unibanco;;;
.itv;ITV;;;
.iveco;CNH Industrial;;;
.jaguar;Jaguar Land Rover;;;
.java;Oracle Corporation (Java);;;
.jcb;JCB;;;
.jcp;JCP Media;;;
.jeep;Chrysler (Jeep);;;
.jpmorgan;JPMorgan Chase;;;
.juniper;Juniper Networks;;;
.kddi;KDDI;;;
.kerryhotels;Kerry Trading Co. Limited;;;
.kerrylogistics;Kerry Trading Co. Limited;;;
.kerryproperties;Kerry Trading Co. Limited;;;
.kfh;Kuwait Finance House;;;
.kia;Kia Motors Corporation;;;
.kinder;Ferrero;;;
.kindle;Amazon (Amazon Kindle);;;
.komatsu;Komatsu;;;
.kpmg;KPMG;;;
.kred;KredTLD;;;
.kuokgroup;Kerry Trading Co. Limited;;;
.lacaixa;Caixa d’Estalvis i Pensions de Barcelona;;;
.ladbrokes;Ladbrokes;;;
.lamborghini;Lamborghini;;;
.lancaster;Lancaster;;;
.lancia;Fiat Chrysler Automobiles (Lancia);;;
.lancome;L'Oréal;;;
.landrover;Jaguar Land Rover;;;
